*************************************
******** FILLER_TEST RESULTS ********
*************************************

*** carli VS tle-dieu - map00 ***
../tle-dieu.filler won - 66AGAINST108
../tle-dieu.filler won - 61AGAINST96
../tle-dieu.filler won - 64AGAINST105
../tle-dieu.filler won - 62AGAINST93
players/carli.filler won - 88AGAINST44
players/carli.filler won - 113AGAINST32
../tle-dieu.filler won - 54AGAINST114
players/carli.filler won - 83AGAINST82
../tle-dieu.filler won - 65AGAINST88
../tle-dieu.filler won - 60AGAINST110
../tle-dieu.filler won - 63AGAINST103
../tle-dieu.filler won - 47AGAINST119
../tle-dieu.filler won - 60AGAINST110
../tle-dieu.filler won - 88AGAINST89
../tle-dieu.filler won - 60AGAINST111
../tle-dieu.filler won - 73AGAINST89
players/carli.filler won - 101AGAINST55
../tle-dieu.filler won - 86AGAINST91
../tle-dieu.filler won - 77AGAINST85
../tle-dieu.filler won - 71AGAINST92
../tle-dieu.filler won - 67AGAINST92
../tle-dieu.filler won - 54AGAINST103
../tle-dieu.filler won - 68AGAINST93
../tle-dieu.filler won - 61AGAINST101
players/carli.filler won - 90AGAINST61
../tle-dieu.filler won - 71AGAINST88
../tle-dieu.filler won - 54AGAINST115
../tle-dieu.filler won - 73AGAINST98
../tle-dieu.filler won - 70AGAINST82
players/carli.filler won - 113AGAINST51
../tle-dieu.filler won - 74AGAINST106
players/carli.filler won - 73AGAINST70
../tle-dieu.filler won - 49AGAINST113
../tle-dieu.filler won - 52AGAINST106
players/carli.filler won - 95AGAINST64
../tle-dieu.filler won - 81AGAINST88
players/carli.filler won - 115AGAINST59
../tle-dieu.filler won - 65AGAINST99
players/carli.filler won - 83AGAINST78
../tle-dieu.filler won - 70AGAINST103
players/carli.filler won - 107AGAINST57
../tle-dieu.filler won - 70AGAINST90
players/carli.filler won - 107AGAINST42
../tle-dieu.filler won - 63AGAINST107
../tle-dieu.filler won - 56AGAINST107
../tle-dieu.filler won - 72AGAINST104
../tle-dieu.filler won - 63AGAINST105
../tle-dieu.filler won - 57AGAINST118
../tle-dieu.filler won - 52AGAINST121
../tle-dieu.filler won - 68AGAINST102
../tle-dieu.filler won - 79AGAINST103
